"Gender" "Age" "Head_size" "Brain_weight"
"205" 2 2 3067 1150
"206" 2 2 3692 1305
"207" 2 2 3402 1220
"208" 2 2 3995 1296
"209" 2 2 3318 1175
"210" 2 2 2720 955
"211" 2 2 2937 1070
"212" 2 2 3580 1320
"213" 2 2 2939 1060
"214" 2 2 2989 1130
"215" 2 2 3586 1250
"216" 2 2 3156 1225
"217" 2 2 3246 1180
"218" 2 2 3170 1178
"219" 2 2 3268 1142
"220" 2 2 3389 1130
"221" 2 2 3381 1185
"222" 2 2 2864 1012
"223" 2 2 3740 1280
"224" 2 2 3479 1103
"225" 2 2 3647 1408
"226" 2 2 3716 1300
"227" 2 2 3284 1246
"228" 2 2 4204 1380
"229" 2 2 3735 1350
"230" 2 2 3218 1060
"231" 2 2 3685 1350
"232" 2 2 3704 1220
"233" 2 2 3214 1110
"234" 2 2 3394 1215
"235" 2 2 3233 1104
"236" 2 2 3352 1170
"237" 2 2 3391 1120
